geneID	sampleID	pValue	padjust	zScore	l2fc	rawcounts	normcounts	meanCorrected	theta	aberrant	AberrantBySample	AberrantByGene	padj_rank
LRFN3	BS_X4DD4KSZ	4.882434673784968e-9	3.0771083952616174e-5	4.63	0.91	4993	2854.14	1513.67	68.66	TRUE	65	5	25.5
ZNF585A	BS_X4DD4KSZ	4.8712537398511135e-9	3.0771083952616174e-5	5.09	0.86	5133	1762.54	966.98	77.81	TRUE	65	4	25.5
MIA3	BS_A3QZB9Y2	3.571403229871446e-9	3.080101214485459e-5	-6.45	-0.98	3903	2440.66	4811.73	96.32	TRUE	105	5	19
ZNF837	BS_HF3RNN2T	2.070944377178348e-9	3.085002009106169e-5	4.36	1.22	320	301.24	127.95	45.15	TRUE	19	1	11
SLC48A1	BS_0SPCTBZY	2.0625656844399822e-10	3.0946681165094644e-5	5.32	1.48	3876	6677.29	2383.68	26.07	TRUE	12	4	1.5
C1QA	BS_0SPCTBZY	3.77715123697337e-10	3.0946681165094644e-5	-7.43	-2.22	2488	700.45	3260.36	26.73	TRUE	12	3	1.5
TAPT1	BS_9XVACXP0	5.66945746557421e-10	3.0967058074306706e-5	5.33	1.24	6298	3247.85	1373.69	38.06	TRUE	22	2	3
VPS37B	BS_B4R7X1KE	2.8347803023370484e-9	3.0967621428827894e-5	-7.82	-3.67	488	200.74	2568.86	11.34	TRUE	80	6	15
MPG	BS_S6Q7NKA3	3.2138107839435396e-9	3.097783656824934e-5	4.85	0.99	5326	2424.8	1220.17	58.56	TRUE	40	3	17
ANKRD39	BS_NDC69214	2.657776389655661e-9	3.110785781535054e-5	5.04	1.11	2611	1126.41	519.89	45.89	TRUE	38	2	14
NEK10	BS_ZHHAM3AN	1.140022270224729e-9	3.113449220001918e-5	4.5	2.18	1591	619.92	136.67	9.04	TRUE	13	3	6
TRIP4	BS_6VPKXXMR	2.470107595510415e-9	3.1135240211835916e-5	4.68	1.31	372	1658.76	665.45	35.89	TRUE	90	10	13
MARCH6	BS_0VRSD9V3	3.611328209838018e-9	3.11453389300655e-5	5.3	0.86	32589	20869.02	11494.54	78.61	TRUE	92	5	19
