geneID	sampleID	pValue	padjust	zScore	l2fc	rawcounts	normcounts	meanCorrected	theta	aberrant	AberrantBySample	AberrantByGene	padj_rank
ARHGAP33	BS_T1YHK6B7	7.594992630018948e-8	0.0012198481563386913	4.46	1.76	13146	7923.66	2336.58	12.07	TRUE	18	2	10
SMC5	BS_A0DYVX9J	3.980730711931368e-7	0.0012328080370373321	4.3	1.44	16965	6343.29	2339.93	17.56	TRUE	75	1	51
SNAPC3	BS_A0DYVX9J	3.9913552449736443e-7	0.0012328080370373321	4.21	1.73	15881	8149.01	2449.81	11.07	TRUE	75	2	51
SLC25A51	BS_A0DYVX9J	3.9058280511591546e-7	0.0012328080370373321	4.26	1.48	3988	2122.99	752.25	16.54	TRUE	75	1	51
GPR180	BS_SNVM7CZT	1.538556812988059e-8	0.001235554649735805	4.65	1.85	2713	2879.73	803.36	11.78	TRUE	5	1	2
RNF26	BS_6DCSD5Y6	7.844872108941433e-9	0.0012599818386895727	-7.13	-2.27	73	277.99	1332.47	24.65	TRUE	5	1	1
AKAP2	BS_BWBDH9GM	6.374452638654996e-8	0.0012797682429930488	-7.39	-4.5	90	117.91	2747.81	7.22	TRUE	26	1	8
SCFD2	BS_TR2P8KRF	7.992621358745782e-9	0.001283712164544255	4.33	2.9	14476	12532.61	1698.15	3.56	TRUE	3	2	1
ZNF418	BS_FYRDYBMZ	4.9337187213828707e-8	0.001320692018050838	-6.97	-3.07	41	97.9	840.79	13.52	TRUE	12	1	6
TUFT1	BS_2853394H	8.471694420285736e-9	0.0013606571228002035	-8.49	-5.91	1	2.32	275.62	7.6	TRUE	4	1	1
APC2	BS_4PWDGEB0	3.450732762801458e-8	0.0013855740893294242	-7.32	-4.02	312	1043.69	17185.46	8.68	TRUE	21	1	3.5
MEX3A	BS_4PWDGEB0	3.049705192277669e-8	0.0013855740893294242	4.07	2.24	58043	15891.37	3417.49	6.83	TRUE	21	1	3.5
RAB6A	BS_2HNXVFAS	5.195792569932554e-8	0.0013908457620045301	4.87	1.01	10109	13701.68	6721.74	47.08	TRUE	24	1	6
OSCAR	BS_JJVH7WR0	9.67269280693878e-8	0.0014123200594917799	4.21	2.19	102	435.05	92.64	7.88	TRUE	18	1	11
PDE3B	BS_TM9MH0RP	4.4298613720107844e-8	0.0014229791892424416	3.74	2.69	24252	5900	930.55	3.99	TRUE	6	1	5
ZFHX3	BS_BWBDH9GM	7.997614017798378e-8	0.0014272378292098614	-6.88	-3.26	153	383.1	3698.4	11.2	TRUE	26	1	9
CITED4	BS_VVTHDRBD	2.2947708439769584e-7	0.0014742723895115044	3.7	2.49	8132	1522.71	268.75	4.4	TRUE	36	1	25
